sample_id	NCBI_accession
bc883539-45b2-4d2d-bc35-d9f7eddb34f7	SRR19064447
652562f9-c650-46c1-93e2-b4519a858eac	SRR19064446
c34a8e74-64c1-421f-9d61-c88486146199	SRR19064445
c98c2ab8-5387-429a-a746-e8a0c4ca4167	SRR19064444
f84b5d59-6bd4-4768-8c1d-288e23a97579	SRR19064443
40aae460-27c1-4138-b0e0-b6df2fa5fb4b	SRR19064442
7bdca74a-4572-41ff-b314-2416fa254603	SRR19064441
8745569e-35ab-451d-8116-db426fbaba31	SRR19064440
c30b362c-4d47-4956-b12e-079b21497ba8	SRR19064438
66dd0b52-c0e3-4a75-af79-3bf389cf2b42	SRR19064437
8d05880f-fc41-4071-ae34-a06ed3bc2a7e	SRR19064436
120e6560-c4d8-4371-9bd8-e4800628221b	SRR19064435
b0be5985-b4e5-4794-b4f1-fe7e9f030c4d	SRR19064434
3200b4db-bf1f-4564-9314-5ecd35ee129d	SRR19064433
cbfdfd63-87be-458f-807f-1b248d064a70	SRR19064936
8a3da976-05ed-4dfd-82c5-652b74d63b8d	SRR19064934
dc640ce4-6875-4d58-b0d4-4655562b2c01	SRR19064933
128696fe-3a3e-4c39-874f-341119c7f8c6	SRR19064932
830e0f93-d2d1-4228-8904-2d41cd760be4	SRR19064930
8280682b-4f73-4b48-8e7a-ec1bac30fea6	SRR19064929
e546ef38-172a-4309-b9b2-35d0b99bf418	SRR19064928
2357a5a5-8380-45ee-93d4-6539c4f319e0	SRR19064927
565b23c6-2cdd-4414-b536-da7aa6a1517f	SRR19064926
3944dcc2-572d-4e54-82b1-e7100d63512d	SRR19064925
6f048e8c-6855-4084-8542-a3e6976160a9	SRR19064924
cfd52666-98a5-49d1-8674-9888105860a3	SRR19064923
3f48f20d-22b3-49cf-ab6f-23c84b05f363	SRR19064922
12ffe61c-6d3d-4b88-9204-26aba958dd5d	SRR19064921
92ee51c8-b2f8-4a5f-a6cf-c4dae2496869	SRR19064919
4b78d880-42e4-4e63-a0ac-e311aeac9974	SRR19064918
2dc4a917-1276-468b-85f5-f35a0045b23a	SRR19064917
625efcdb-904f-429c-87d5-40818bbdea63	SRR19064916
874af547-f4d8-4ad1-b7e7-5e82f8b5d114	SRR19064681
1690ce17-8c39-4460-a683-76f317c3a48c	SRR19064680
eabdbc56-f001-4046-af18-a0c55197278b	SRR19064679
6b85235d-dd88-4f87-aaba-c969ffa97829	SRR19064678
71236e19-4744-4709-9f5d-d9a19d538468	SRR19064677
d3801b26-1ec3-4d37-9e6c-aff7c585e699	SRR19064676
8682b1e9-852e-490b-bb31-93583fab2edc	SRR19064674
c75212ad-61d0-475a-ab14-43ae47a7eb90	SRR19064673
047ab526-9780-4b89-bdc3-8ca847db7810	SRR19064672
87b49101-fd3f-4a06-8517-eeeab8bd1324	SRR19064671
1493309b-b47b-4e77-afbd-8c104d55050e	SRR19064670
0808b05a-290d-4c43-888f-60c098d598f0	SRR19064669
135a3bd0-fdae-450d-959f-9cc83d1420b4	SRR19064668
e8f45e82-6070-4ebc-b8b7-249ba91349ae	SRR19064667
0fa09ae3-3aec-414e-8ce0-17f687cc7f8d	SRR19064666
2a6d8472-ea7e-4737-aff9-e127cfef2556	SRR19064665
b6ed1d32-e3c5-4bd4-a2a3-2f27d8c45cfd	SRR19064663
7397e133-d846-411f-9e9b-a3b1bb4da839	SRR19064662
7499be66-7db3-46fb-99cc-347cd8600fe8	SRR19064661
f28fca4d-4dfc-4dcd-9853-6b3898e61a0a	SRR19064660
e47cd2b1-e9e5-4e99-954b-08209aa7f455	SRR19064659
e95499cd-0aa3-44a1-aa79-e1dd3c72bcf8	SRR19064658
edef727d-2ab1-4497-ba12-d9c1842033d7	SRR19064657
c1250982-43f5-42f5-a52d-cf07e6cd5782	SRR19064656
a20bc61e-7b7f-45a1-a6e7-b93f3aede45b	SRR19064655
a8753666-bf71-413b-9c7e-0b6c963d7604	SRR19064654
351ef501-690f-4585-88c1-b7b8a27ca62a	SRR19064651
49fb2785-c9b2-4276-a616-097df1d36dc5	SRR19064650
b4001959-f0ff-4076-92fe-85e43da2e4b1	SRR19064649
204d7e51-a0dc-40da-ab97-4547c93dc2a7	SRR19064648
a7643468-53c7-43e8-8e51-188562f0bd66	SRR19064647
3a77ed96-a589-4120-b16f-e23740fbb4c8	SRR19064646
03eedd00-5782-4513-8fce-e8590e49f276	SRR19064645
cb183389-2512-47b2-a2e1-e947f8ce3bc7	SRR19064644
24426488-f066-488c-be5f-0e864ae36f32	SRR19064643
26decce1-fe91-438b-9d71-2efda9ea47b0	SRR19064642
db4e396f-0892-48bb-89a9-faa56c24ffbc	SRR19064914
0bbb6801-3d46-49ea-9032-f31b0a2572d0	SRR19064913
b423cc39-06bc-4c2d-b05f-2f307fbc5635	SRR19064912
8a46cf70-3706-417b-8dc1-37d014670432	SRR19064911
d5794b1b-6dcb-4b5a-95d7-b382107e2a97	SRR19064910
42bab2b6-22c1-4883-ba89-d2e0e9b21308	SRR19064909
5f2a789d-1a41-4e44-b9c8-cd3c0a330989	SRR19064908
a83db807-3e35-40fa-976a-ae0530b0f23f	SRR19064907
7b649751-9ba0-460a-b417-f4d4658a1474	SRR19064906
b15ad072-0019-429d-996e-95e2c4c7c615	SRR19064905
e5a99f83-670e-4e23-9b44-2ca260aad815	SRR19064903
5388fd79-8367-4578-9484-b87c4781f0e3	SRR19064902
2d787496-1209-422d-8049-affa6e234f6e	SRR19064901
80c9813d-e6bb-4ba0-af5a-44b8ae07a9db	SRR19064900
0939134f-8dd8-4b6f-8d33-6463fccbc8f1	SRR19064899
6d3c851e-c928-4e2b-8427-89964ca12574	SRR19064898
04bcee67-28f4-48a3-bbda-1e8009443205	SRR19064897
87ce6ff3-ea2b-46ac-bc3e-468cd477c313	SRR19064896
26fd9e62-8632-4764-9b2b-dd78a1c11778	SRR19064895
153f6d98-fb80-4484-a60f-2369d1c340f9	SRR19064894
5cd3b85a-6cb1-4a57-88bd-72edf3e38fe0	SRR19064892
7ac4eb94-472e-449d-b1da-87df1abcf659	SRR19064891
89195142-e419-4c86-a275-e58bb252971d	SRR19064890
88c9756a-36ee-4fae-960e-4a1558a89b83	SRR19064889
0422f56e-b52b-4d3f-ada1-2d30e00aba98	SRR19064888
905a1d93-71f6-491b-b654-26aa898ab36b	SRR19064887
08ab162c-6374-4010-9f3a-7dcfa2e4e133	SRR19064886
b16069aa-634c-4963-a5dd-55232116d0f5	SRR19064885
f12389ee-9a46-4916-a073-066785a2a928	SRR19064884
1d656842-e913-426a-9f48-9e2aa763924b	SRR19064883
b7d87320-60c5-4fdb-977f-2effa11bf75d	SRR19064881
802a446b-e037-4914-be23-5ce512d4f52f	SRR19064880
224eeab8-9761-4363-82e0-819aaedd0722	SRR19064879
fac5c400-9e13-445e-9329-ffc385049b29	SRR19064878
1f9a1236-9232-47a3-a489-373206d2cc87	SRR19064877
b5eeb95b-4741-4244-9f8f-50ec4ac48c36	SRR19064876
11098f37-eadc-43aa-9f58-e996ffeaa5c7	SRR19064875
39a42ba3-825e-4157-9534-f0c21aaafaf2	SRR19064874
c9d04bfa-46a4-4bd8-90ad-075ccf320d7e	SRR19064872
cd96fc38-901f-4af2-8a98-2b9851129dbd	SRR19064871
b6c242bb-cf00-467c-8b0e-8fb929c9f3e8	SRR19064873
65412b5c-9cfb-4ecb-99b6-babe323283b8	SRR19064869
74111fb5-c509-45e8-a815-9852c81bfdb9	SRR19064868
ddcc0096-7f71-4d2b-8968-245276b90ff3	SRR19064867
a150a9de-2e47-4da1-96e3-b509db675a04	SRR19064866
7c01ac94-74ea-4747-b695-047279ddd3da	SRR19064864
06a0bf7b-eda4-4171-9d31-f7e8843a56de	SRR19064863
424bdceb-4307-4412-b760-fe0174b79537	SRR19064862
af904500-e86d-4cda-a15d-fdcc3b340873	SRR19064865
445ce4bd-4524-4a4e-bbda-ddec82f1adb7	SRR19064861
80e76fcd-3a19-43ed-8de3-84d230076fff	SRR19064859
66c521ee-3655-47f3-ab2a-ae73cd77f29e	SRR19064858
4788e0a6-a281-4e2f-943a-3eaab5e65e20	SRR19064856
1e8e660f-b482-449f-bc25-bcd0c4851eb2	SRR19064855
91d49a52-ef4c-42ac-bbc4-18a29f71982d	SRR19064854
b36877f9-1cee-4244-8c4e-61dab38c6466	SRR19064857
561c7232-e5e7-49ee-8f94-384ff9c8c6a2	SRR19064432
43004623-3499-4918-a4a7-1979138fdd52	SRR19064431
0d16e922-4809-487c-8638-7a2f75ce12c6	SRR19064430
c44b06a3-7af3-4909-b935-88492fc66a85	SRR19064429
13fa68eb-1213-4d5d-be2f-c8eef75d5182	SRR19064427
791093fd-af30-48ad-988b-bc33534425d1	SRR19064426
c60be393-4651-497c-8002-d3a394131ad9	SRR19064425
4bc3a3be-1040-47e2-8095-88d4ff42327d	SRR19064424
