study_name	BioProject	sample_id	NCBI_accession	uuid
JoS_2022	PRJNA743718	SAMN20058803	SRR15040918	18f5f131-780b-44db-86e9-c206f2e8a6e2
JoS_2022	PRJNA743718	SAMN20058804	SRR15040917	6669973a-6d71-4382-b04c-bb149cb2c593
JoS_2022	PRJNA743718	SAMN20058805	SRR15040916	f89fd70c-253e-4c35-89cd-afad2a1eee65
JoS_2022	PRJNA743718	SAMN20058806	SRR15040915	4826a558-7c8d-40c4-b4f9-5f0efc3b22ff
JoS_2022	PRJNA743718	SAMN20058807	SRR15040914	36cd8d84-758f-4c16-b0e5-40aa5446c347
JoS_2022	PRJNA743718	SAMN20058808	SRR15040913	17932171-1d02-4f31-9ac2-09118943f318
JoS_2022	PRJNA743718	SAMN20058809	SRR15040912	6dbbf555-4856-4f8f-af8f-508201cdc3bd
JoS_2022	PRJNA743718	SAMN20058810	SRR15040911	8020a9a5-2c63-4de7-8c78-55902af4734d
JoS_2022	PRJNA743718	SAMN20058811	SRR15040910	4fff98d3-0e11-42ad-8f04-6ff108c103c9
JoS_2022	PRJNA743718	SAMN20058812	SRR15040909	1ad2a1b7-9f19-4d3a-a69f-2070cf916434
JoS_2022	PRJNA743718	SAMN20058813	SRR15040907	9d10f1b7-ccd0-4258-b775-f9cf883a80c8
JoS_2022	PRJNA743718	SAMN20058814	SRR15040906	97bbc991-c9b9-4c61-899a-4a19c80ad143
JoS_2022	PRJNA743718	SAMN20058815	SRR15040905	49538447-09fc-4cc1-8d26-ecc14102d5cb
JoS_2022	PRJNA743718	SAMN20058816	SRR15040904	f408e625-5d93-4612-8e8b-2dc026b5cedc
JoS_2022	PRJNA743718	SAMN20058817	SRR15040903	13478a5a-1b95-4a7e-8b4f-eaf988187782
JoS_2022	PRJNA743718	SAMN20058818	SRR15040902	0f0cf647-06d9-4ec3-b6b8-ead2a6f54994
JoS_2022	PRJNA743718	SAMN20058819	SRR15040901	4dd1fb4e-3c33-46a5-8ffc-ae378c494b0b
JoS_2022	PRJNA743718	SAMN20058820	SRR15040900	566f5f72-760a-46a1-906d-524ff4e2753a
JoS_2022	PRJNA743718	SAMN20058821	SRR15040899	14cda2fc-78a9-401d-a392-223b2526573f
JoS_2022	PRJNA743718	SAMN20058822	SRR15040898	2f186238-b723-4206-b3d4-db48d08491d0
JoS_2022	PRJNA743718	SAMN20058823	SRR15041050	015a7064-44c5-47b1-9725-238b0495df36
JoS_2022	PRJNA743718	SAMN20058824	SRR15041049	aab2c669-5731-41fc-89e5-17a97ca13183
JoS_2022	PRJNA743718	SAMN20058825	SRR15041048	85e1e581-1932-466a-8421-a4f85e3b133e
JoS_2022	PRJNA743718	SAMN20058826	SRR15041047	faae869b-dbf7-469e-9265-e048118a9ebe
JoS_2022	PRJNA743718	SAMN20058827	SRR15041046	0365efbf-9aa3-4881-9c02-aca0c8b8699e
JoS_2022	PRJNA743718	SAMN20058828	SRR15041045	95fdaf9c-aaf3-4e94-bc11-1a99b3762e53
JoS_2022	PRJNA743718	SAMN20058829	SRR15041044	8a0804fd-382b-4f26-ab2a-283224f60a9f
JoS_2022	PRJNA743718	SAMN20058830	SRR15041043	e3a3e5bb-4810-4317-a28f-6b4426b8463c
JoS_2022	PRJNA743718	SAMN20058831	SRR15041042	ff1bf78d-3711-43b9-98ae-21337d309c9b
JoS_2022	PRJNA743718	SAMN20058832	SRR15041041	f46df6a8-ebce-4e44-b9e4-6fa60f514263
JoS_2022	PRJNA743718	SAMN20058833	SRR15041039	1508c900-be46-49ae-a9f0-6aff03522fc3
JoS_2022	PRJNA743718	SAMN20058834	SRR15041038	3f8b7def-bacf-42d8-9bce-8146a2220e5a
JoS_2022	PRJNA743718	SAMN20058835	SRR15041037	ee549924-92cb-4cfc-a47c-d0cf27061358
JoS_2022	PRJNA743718	SAMN20058836	SRR15041036	75fbbfd6-d706-4ee4-bcbc-2271ea81853f
JoS_2022	PRJNA743718	SAMN20058837	SRR15041035	f5cbccb6-a59d-451a-ace2-687fc1f001ed
JoS_2022	PRJNA743718	SAMN20058838	SRR15041034	f6907206-4567-4b8f-a764-c2abd6553cf7
JoS_2022	PRJNA743718	SAMN20058839	SRR15041033	cb109bbb-e63e-4f1e-bc1a-1f51ec0c223e
JoS_2022	PRJNA743718	SAMN20058840	SRR15041032	ffb05e68-a5df-4cb9-9895-0053a33dea3c
JoS_2022	PRJNA743718	SAMN20058841	SRR15041031	95895ef4-b213-4b12-a561-5972581e093f
JoS_2022	PRJNA743718	SAMN20058842	SRR15041030	cd8bf254-62c3-4b07-b0e7-d682633aa199
JoS_2022	PRJNA743718	SAMN20058843	SRR15041028	73e80596-e435-475e-a085-c77c16ce2324
JoS_2022	PRJNA743718	SAMN20058844	SRR15041027	6b89f80e-acbc-4ffa-9e43-2efd2137b1eb
JoS_2022	PRJNA743718	SAMN20058845	SRR15041026	b354a8b8-77fd-46a8-a233-2965659c62e2
JoS_2022	PRJNA743718	SAMN20058846	SRR15041025	7b5b99ef-47ba-4faf-b698-c8074a48e5a1
JoS_2022	PRJNA743718	SAMN20058847	SRR15041024	8a2bce40-f190-4b55-8bbd-22fe15633c14
JoS_2022	PRJNA743718	SAMN20058848	SRR15041023	48c30fd1-de11-478b-b145-22004648ce60
JoS_2022	PRJNA743718	SAMN20058849	SRR15041022	a6423bcf-eb31-465b-a9b6-a57a24b864db
JoS_2022	PRJNA743718	SAMN20058850	SRR15041021	6205ca72-90d2-438e-9c57-719821e330bb
JoS_2022	PRJNA743718	SAMN20058851	SRR15041020	532efebf-e838-4ce7-b0e7-8affa8dc926e
JoS_2022	PRJNA743718	SAMN20058852	SRR15041019	937d7956-3bc3-4e93-ba57-b18836cb77a6
JoS_2022	PRJNA743718	SAMN20058853	SRR15041017	24068ebb-8f9e-4388-9ed5-00c64cdb7cce
JoS_2022	PRJNA743718	SAMN20058854	SRR15041016	f681e8bd-93f3-4a27-bfef-205535170b70
JoS_2022	PRJNA743718	SAMN20058855	SRR15041015	89944bdd-5741-4816-8205-9aa5309d282f
JoS_2022	PRJNA743718	SAMN20058856	SRR15041014	f59e041e-1212-452a-abb8-e7268b7c9ba3
JoS_2022	PRJNA743718	SAMN20058857	SRR15041013	5c02d725-92c5-4607-926c-69416f0575d3
JoS_2022	PRJNA743718	SAMN20058858	SRR15041012	eda9174e-ad25-40f9-96e8-6b2b64489ce7
JoS_2022	PRJNA743718	SAMN20058859	SRR15041011	0c1642e1-1087-4509-9381-fe3b3518dbfc
JoS_2022	PRJNA743718	SAMN20058860	SRR15041010	c992749c-a677-4c25-b482-4d46eda418e7
JoS_2022	PRJNA743718	SAMN20058861	SRR15041009	0f4ec0b0-4cd1-4401-8341-199768c89c8e
JoS_2022	PRJNA743718	SAMN20058862	SRR15041008	6f89c190-ff6c-4595-97b6-9639376abf3c
JoS_2022	PRJNA743718	SAMN20058863	SRR15041006	49bcbef9-0690-4e33-83b6-328460b40b10
JoS_2022	PRJNA743718	SAMN20058864	SRR15041005	1f16a09c-ea79-445f-ad95-7f542f2b6caa
JoS_2022	PRJNA743718	SAMN20058865	SRR15041004	fa670190-e4d5-44c3-9567-cc582ab016c9
JoS_2022	PRJNA743718	SAMN20058866	SRR15041003	6d52f097-a184-4830-b3d8-d50aea91446f
JoS_2022	PRJNA743718	SAMN20058867	SRR15041002	344ec29e-b335-4a02-b2b4-8014889275a4
JoS_2022	PRJNA743718	SAMN20058868	SRR15041001	45aa4e50-d29d-413d-ac68-6f6ea2deb32c
JoS_2022	PRJNA743718	SAMN20058869	SRR15041000	721497c5-afd1-441c-822f-b5e3de94e26c
JoS_2022	PRJNA743718	SAMN20058870	SRR15040999	3c5cccb3-f9ce-4d2a-9849-1a56fc6b0d9f
JoS_2022	PRJNA743718	SAMN20058871	SRR15040998	f0c40728-6df8-4815-9827-6a9792114c8a
JoS_2022	PRJNA743718	SAMN20058872	SRR15040997	15eb0968-d674-4e34-ab49-216bf45a7a8c
JoS_2022	PRJNA743718	SAMN20058873	SRR15040995	85cfe3d9-0d2d-4aeb-9907-2199d5058396
JoS_2022	PRJNA743718	SAMN20058874	SRR15040994	d388c907-66e1-45b5-82ac-f3a3ec0c0813
JoS_2022	PRJNA743718	SAMN20058875	SRR15040993	e6d531b1-d670-4447-a2ab-dee141251425
JoS_2022	PRJNA743718	SAMN20058876	SRR15040992	429077eb-5fa4-4b15-a410-6b12577f6cfe
JoS_2022	PRJNA743718	SAMN20058877	SRR15040991	ae1db423-e7ca-4f8b-81b2-c55748b24ee9
JoS_2022	PRJNA743718	SAMN20058878	SRR15040990	c37831e2-b353-43b3-95a6-7e3c51c6f040
